Year,Grid,Target,Feature,Mean,Slope,Intercept,Formula
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BHV,37.226493908235454,0.10692463932568393,36.31908453158579,predy = 0.1069 * BHV + 36.3191
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BHV,37.226493908235454,0.10692463932568393,36.31908453158579,predy = 0.1069 * BHV + 36.3191
2023,480m,nor_2023,SVF,37.226493908235454,-23.972559873413847,57.94515227317107,predy = -23.9726 * SVF + 57.9452
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BHV,37.226493908235454,0.10692463932568393,36.31908453158579,predy = 0.1069 * BHV + 36.3191
2023,480m,nor_2023,SVF,37.226493908235454,-23.972559873413847,57.94515227317107,predy = -23.9726 * SVF + 57.9452
2023,480m,nor_2023,NDVI,37.226493908235454,-19.13962857955747,40.97887863013547,predy = -19.1396 * NDVI + 40.9789
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BHV,37.226493908235454,0.10692463932568393,36.31908453158579,predy = 0.1069 * BHV + 36.3191
2023,480m,nor_2023,SVF,37.226493908235454,-23.972559873413847,57.94515227317107,predy = -23.9726 * SVF + 57.9452
2023,480m,nor_2023,NDVI,37.226493908235454,-19.13962857955747,40.97887863013547,predy = -19.1396 * NDVI + 40.9789
2023,480m,nor_2023,EV,37.226493908235454,-0.040510360372587456,39.10925115707621,predy = -0.0405 * EV + 39.1093
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BHV,37.226493908235454,0.10692463932568393,36.31908453158579,predy = 0.1069 * BHV + 36.3191
2023,480m,nor_2023,SVF,37.226493908235454,-23.972559873413847,57.94515227317107,predy = -23.9726 * SVF + 57.9452
2023,480m,nor_2023,NDVI,37.226493908235454,-19.13962857955747,40.97887863013547,predy = -19.1396 * NDVI + 40.9789
2023,480m,nor_2023,EV,37.226493908235454,-0.040510360372587456,39.10925115707621,predy = -0.0405 * EV + 39.1093
2023,480m,nor_2023,WR,37.226493908235454,-0.10711302123290833,37.90067686121366,predy = -0.1071 * WR + 37.9007
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BHV,37.226493908235454,0.10692463932568393,36.31908453158579,predy = 0.1069 * BHV + 36.3191
2023,480m,nor_2023,SVF,37.226493908235454,-23.972559873413847,57.94515227317107,predy = -23.9726 * SVF + 57.9452
2023,480m,nor_2023,NDVI,37.226493908235454,-19.13962857955747,40.97887863013547,predy = -19.1396 * NDVI + 40.9789
2023,480m,nor_2023,EV,37.226493908235454,-0.040510360372587456,39.10925115707621,predy = -0.0405 * EV + 39.1093
2023,480m,nor_2023,WR,37.226493908235454,-0.10711302123290833,37.90067686121366,predy = -0.1071 * WR + 37.9007
2023,480m,nor_2023,Dist_W,37.226493908235454,-0.3840651762889437,37.759264230148375,predy = -0.3841 * Dist_W + 37.7593
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BHV,37.226493908235454,0.10692463932568393,36.31908453158579,predy = 0.1069 * BHV + 36.3191
2023,480m,nor_2023,SVF,37.226493908235454,-23.972559873413847,57.94515227317107,predy = -23.9726 * SVF + 57.9452
2023,480m,nor_2023,NDVI,37.226493908235454,-19.13962857955747,40.97887863013547,predy = -19.1396 * NDVI + 40.9789
2023,480m,nor_2023,EV,37.226493908235454,-0.040510360372587456,39.10925115707621,predy = -0.0405 * EV + 39.1093
2023,480m,nor_2023,WR,37.226493908235454,-0.10711302123290833,37.90067686121366,predy = -0.1071 * WR + 37.9007
2023,480m,nor_2023,Dist_W,37.226493908235454,-0.3840651762889437,37.759264230148375,predy = -0.3841 * Dist_W + 37.7593
2023,480m,nor_2023,Dist_P,37.226493908235454,-0.6009377049933199,37.701442992621864,predy = -0.6009 * Dist_P + 37.7014
2023,480m,nor_2023,BCR,37.226493908235454,0.23312996384776072,33.63097539407054,predy = 0.2331 * BCR + 33.6310
2023,480m,nor_2023,BHV,37.226493908235454,0.10692463932568393,36.31908453158579,predy = 0.1069 * BHV + 36.3191
2023,480m,nor_2023,SVF,37.226493908235454,-23.972559873413847,57.94515227317107,predy = -23.9726 * SVF + 57.9452
2023,480m,nor_2023,NDVI,37.226493908235454,-19.13962857955747,40.97887863013547,predy = -19.1396 * NDVI + 40.9789
2023,480m,nor_2023,EV,37.226493908235454,-0.040510360372587456,39.10925115707621,predy = -0.0405 * EV + 39.1093
2023,480m,nor_2023,WR,37.226493908235454,-0.10711302123290833,37.90067686121366,predy = -0.1071 * WR + 37.9007
2023,480m,nor_2023,Dist_W,37.226493908235454,-0.3840651762889437,37.759264230148375,predy = -0.3841 * Dist_W + 37.7593
2023,480m,nor_2023,Dist_P,37.226493908235454,-0.6009377049933199,37.701442992621864,predy = -0.6009 * Dist_P + 37.7014
2023,480m,nor_2023,Dist_M,37.226493908235454,0.4273344140104857,36.2554008649853,predy = 0.4273 * Dist_M + 36.2554
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BHV,41.942951085900866,0.10735461731110311,41.03189272751806,predy = 0.1074 * BHV + 41.0319
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BHV,41.942951085900866,0.10735461731110311,41.03189272751806,predy = 0.1074 * BHV + 41.0319
2023,480m,ext_2023,SVF,41.942951085900866,-26.73545299457239,65.04948287688634,predy = -26.7355 * SVF + 65.0495
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BHV,41.942951085900866,0.10735461731110311,41.03189272751806,predy = 0.1074 * BHV + 41.0319
2023,480m,ext_2023,SVF,41.942951085900866,-26.73545299457239,65.04948287688634,predy = -26.7355 * SVF + 65.0495
2023,480m,ext_2023,NDVI,41.942951085900866,-20.335767879492334,45.929842700956236,predy = -20.3358 * NDVI + 45.9298
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BHV,41.942951085900866,0.10735461731110311,41.03189272751806,predy = 0.1074 * BHV + 41.0319
2023,480m,ext_2023,SVF,41.942951085900866,-26.73545299457239,65.04948287688634,predy = -26.7355 * SVF + 65.0495
2023,480m,ext_2023,NDVI,41.942951085900866,-20.335767879492334,45.929842700956236,predy = -20.3358 * NDVI + 45.9298
2023,480m,ext_2023,EV,41.942951085900866,-0.039010040177861624,43.75597953706562,predy = -0.0390 * EV + 43.7560
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BHV,41.942951085900866,0.10735461731110311,41.03189272751806,predy = 0.1074 * BHV + 41.0319
2023,480m,ext_2023,SVF,41.942951085900866,-26.73545299457239,65.04948287688634,predy = -26.7355 * SVF + 65.0495
2023,480m,ext_2023,NDVI,41.942951085900866,-20.335767879492334,45.929842700956236,predy = -20.3358 * NDVI + 45.9298
2023,480m,ext_2023,EV,41.942951085900866,-0.039010040177861624,43.75597953706562,predy = -0.0390 * EV + 43.7560
2023,480m,ext_2023,WR,41.942951085900866,-0.1098261305178812,42.634210693131216,predy = -0.1098 * WR + 42.6342
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BHV,41.942951085900866,0.10735461731110311,41.03189272751806,predy = 0.1074 * BHV + 41.0319
2023,480m,ext_2023,SVF,41.942951085900866,-26.73545299457239,65.04948287688634,predy = -26.7355 * SVF + 65.0495
2023,480m,ext_2023,NDVI,41.942951085900866,-20.335767879492334,45.929842700956236,predy = -20.3358 * NDVI + 45.9298
2023,480m,ext_2023,EV,41.942951085900866,-0.039010040177861624,43.75597953706562,predy = -0.0390 * EV + 43.7560
2023,480m,ext_2023,WR,41.942951085900866,-0.1098261305178812,42.634210693131216,predy = -0.1098 * WR + 42.6342
2023,480m,ext_2023,Dist_W,41.942951085900866,-0.20227364360144579,42.22354250857899,predy = -0.2023 * Dist_W + 42.2235
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BHV,41.942951085900866,0.10735461731110311,41.03189272751806,predy = 0.1074 * BHV + 41.0319
2023,480m,ext_2023,SVF,41.942951085900866,-26.73545299457239,65.04948287688634,predy = -26.7355 * SVF + 65.0495
2023,480m,ext_2023,NDVI,41.942951085900866,-20.335767879492334,45.929842700956236,predy = -20.3358 * NDVI + 45.9298
2023,480m,ext_2023,EV,41.942951085900866,-0.039010040177861624,43.75597953706562,predy = -0.0390 * EV + 43.7560
2023,480m,ext_2023,WR,41.942951085900866,-0.1098261305178812,42.634210693131216,predy = -0.1098 * WR + 42.6342
2023,480m,ext_2023,Dist_W,41.942951085900866,-0.20227364360144579,42.22354250857899,predy = -0.2023 * Dist_W + 42.2235
2023,480m,ext_2023,Dist_P,41.942951085900866,-0.44504518495626616,42.294691043885194,predy = -0.4450 * Dist_P + 42.2947
2023,480m,ext_2023,BCR,41.942951085900866,0.2577289070061818,37.968047810999,predy = 0.2577 * BCR + 37.9680
2023,480m,ext_2023,BHV,41.942951085900866,0.10735461731110311,41.03189272751806,predy = 0.1074 * BHV + 41.0319
2023,480m,ext_2023,SVF,41.942951085900866,-26.73545299457239,65.04948287688634,predy = -26.7355 * SVF + 65.0495
2023,480m,ext_2023,NDVI,41.942951085900866,-20.335767879492334,45.929842700956236,predy = -20.3358 * NDVI + 45.9298
2023,480m,ext_2023,EV,41.942951085900866,-0.039010040177861624,43.75597953706562,predy = -0.0390 * EV + 43.7560
2023,480m,ext_2023,WR,41.942951085900866,-0.1098261305178812,42.634210693131216,predy = -0.1098 * WR + 42.6342
2023,480m,ext_2023,Dist_W,41.942951085900866,-0.20227364360144579,42.22354250857899,predy = -0.2023 * Dist_W + 42.2235
2023,480m,ext_2023,Dist_P,41.942951085900866,-0.44504518495626616,42.294691043885194,predy = -0.4450 * Dist_P + 42.2947
2023,480m,ext_2023,Dist_M,41.942951085900866,0.2904178809783035,41.282993042253636,predy = 0.2904 * Dist_M + 41.2830
2023,480m,hr_2023,BCR,-4.711715039824055,-0.02454766402830746,-4.333121147230666,predy = -0.0245 * BCR + -4.3331
2023,480m,hr_2023,BCR,-4.711715039824055,-0.02454766402830746,-4.333121147230666,predy = -0.0245 * BCR + -4.3331
2023,480m,hr_2023,BHV,-4.711715039824055,-0.00021779759836309902,-4.709866713898312,predy = -0.0002 * BHV + -4.7099
2023,480m,hr_2023,BCR,-4.711715039824055,-0.02454766402830746,-4.333121147230666,predy = -0.0245 * BCR + -4.3331
2023,480m,hr_2023,BHV,-4.711715039824055,-0.00021779759836309902,-4.709866713898312,predy = -0.0002 * BHV + -4.7099
2023,480m,hr_2023,SVF,-4.711715039824055,2.7546117267906305,-7.092431141766696,predy = 2.7546 * SVF + -7.0924
2023,480m,hr_2023,BCR,-4.711715039824055,-0.02454766402830746,-4.333121147230666,predy = -0.0245 * BCR + -4.3331
2023,480m,hr_2023,BHV,-4.711715039824055,-0.00021779759836309902,-4.709866713898312,predy = -0.0002 * BHV + -4.7099
2023,480m,hr_2023,SVF,-4.711715039824055,2.7546117267906305,-7.092431141766696,predy = 2.7546 * SVF + -7.0924
2023,480m,hr_2023,NDVI,-4.711715039824055,1.179643928187637,-4.942987963173319,predy = 1.1796 * NDVI + -4.9430
2023,480m,hr_2023,BCR,-4.711715039824055,-0.02454766402830746,-4.333121147230666,predy = -0.0245 * BCR + -4.3331
2023,480m,hr_2023,BHV,-4.711715039824055,-0.00021779759836309902,-4.709866713898312,predy = -0.0002 * BHV + -4.7099
2023,480m,hr_2023,SVF,-4.711715039824055,2.7546117267906305,-7.092431141766696,predy = 2.7546 * SVF + -7.0924
2023,480m,hr_2023,NDVI,-4.711715039824055,1.179643928187637,-4.942987963173319,predy = 1.1796 * NDVI + -4.9430
2023,480m,hr_2023,EV,-4.711715039824055,-0.0015085403377512474,-4.641604203239354,predy = -0.0015 * EV + -4.6416
2023,480m,hr_2023,BCR,-4.711715039824055,-0.02454766402830746,-4.333121147230666,predy = -0.0245 * BCR + -4.3331
